file,phase,node,ops,elapsed_us
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round01/round1-workloadA-load/vm0.log,load,0,25000,592443
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round01/round1-workloadA-load/vm1.log,load,1,25000,335664
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round01/round1-workloadA-load/vm2.log,load,2,25000,347039
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round01/round1-workloadA-load/vm3.log,load,3,25000,320272
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round01/round1-workloadA-run/vm0.log,run,0,25000,380629
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round01/round1-workloadA-run/vm1.log,run,1,25000,374410
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round01/round1-workloadA-run/vm2.log,run,2,25000,385148
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round01/round1-workloadA-run/vm3.log,run,3,25000,372160
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round02/round1-workloadA-load/vm0.log,load,0,25000,614350
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round02/round1-workloadA-load/vm1.log,load,1,25000,313544
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round02/round1-workloadA-load/vm2.log,load,2,25000,324038
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round02/round1-workloadA-load/vm3.log,load,3,25000,327329
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round02/round1-workloadA-run/vm0.log,run,0,25000,367233
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round02/round1-workloadA-run/vm1.log,run,1,25000,375438
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round02/round1-workloadA-run/vm2.log,run,2,25000,380883
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round02/round1-workloadA-run/vm3.log,run,3,25000,374007
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round03/round1-workloadA-load/vm0.log,load,0,25000,609887
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round03/round1-workloadA-load/vm1.log,load,1,25000,322575
